model,res.subdistrict.ongkir,transient,False
10,create_date,datetime,,Created on
11,write_uid,many2one,res.users,Last Updated by
12,type_invoice,selection,,Type
13,id,integer,,ID
,,,,
,,,,
model,crm.lead2opportunity.partner,transient,True
failed to get fields list of crm.lead2opportunity.partner
,,,,
model,web.dashboard.kpi.target,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,block_id,many2one,web.dashboard.block,Block
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,create_date,datetime,,Created on
8,type,selection,,Date Type
9,id,integer,,ID
10,target,float,,KPI Target
,,,,
,,,,
model,account.asset.anual.depreciation.line,transient,False
no,field,type,relation,string
1,asset_id,many2one,account.asset.asset,Asset
2,method_number,integer,,Number of Depreciations
3,code,char,,Code
4,display_name,char,,Display Name
5,name,char,,Name
6,__last_update,datetime,,Last Modified on
7,categ_name,char,,Category Name
8,value,char,,Purchase Value
9,id,integer,,ID
10,depreciation_amount,char,,Depreciation Amount
11,residual_value,char,,Residual Value
12,date,date,,Purchase Date
13,year,char,,Depreciation Year
14,cumulative_depreciation_amount,char,,Cumulative Depreciation Amount
15,categ_id,many2one,account.asset.category,Category
16,method,char,,Method
,,,,
,,,,
model,kpi.unit.type,transient,False
failed to get fields list of kpi.unit.type
,,,,
model,analysis.sale,transient,False
no,field,type,relation,string
1,state_name,char,,Customer Address (State)
2,product_uom_qty,float,,Product Qty
3,date_order,datetime,,Date Order
4,partner_id,many2one,res.partner,Customer
5,id,integer,,ID
6,display_name,char,,Display Name
7,__last_update,datetime,,Last Modified on
8,partner_name,char,,Customer
9,sale_gross,float,,Gross Sales
10,company_id,many2one,res.company,Company
11,saleperson_name,char,,Saleperson
12,product_name,char,,Product
13,sale_total,float,,Total Net Sales
14,sale_state,char,,Sale Order Status
15,sale_discount,float,,Discount Amount
16,sale_tax,float,,Tax Amount
17,sale_margin,float,,Total Margin
18,product_category_name,char,,Product Category
19,delivered_qty,float,,Delivered Qty
20,saleteam_name,char,,Salesteam
21,sale_cost,float,,Total Cost
22,invoice_status,char,,Invoice Status
23,invoiced_qty,float,,Invoiced Qty
24,saleperson_id,many2one,res.users,Saleperson
,,,,
,,,,
model,production.order,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,user_id,many2one,res.users,Assigned To
3,name,char,,Name
4,picking_type_id,many2one,stock.picking.type,Type
5,order_line_ids,one2many,production.order.line,Production Lines
6,notes,text,,Notes
7,__last_update,datetime,,Last Modified on
8,write_uid,many2one,res.users,Last Updated by
9,invoice_ids,one2many,account.invoice,Invoices
10,state,selection,,Status
11,write_date,datetime,,Last Updated on
12,date,date,,Order Date
13,display_name,char,,Display Name
14,create_date,datetime,,Created on
15,partner_ref,char,,Partner ref.
16,partner_id,many2one,res.partner,Supplier
17,id,integer,,ID
,,,,
,,,,
model,stock.card.wizard,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,whs_id,many2many,stock.warehouse,Warehouse
3,display_name,char,,Display Name
4,end_date,date,,End Date
5,__last_update,datetime,,Last Modified on
6,write_uid,many2one,res.users,Last Updated by
7,write_date,datetime,,Last Updated on
8,id,integer,,ID
9,create_date,datetime,,Created on
10,start_date,date,,Start Date
,,,,
,,,,
model,res.kelurahan,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Kelurahan
4,zip,char,,Kode Post
5,__last_update,datetime,,Last Modified on
6,kecamatan_id,many2one,res.kecamatan,Kecamatan
7,write_uid,many2one,res.users,Last Updated by
