model,product.template,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
138,qty_check,boolean,,Check Qty on E-commerce,,,,False,version 1
139,banner_ids,many2many,sale.banner,Banner,,,,False,version 1
140,materi_ids,many2many,res.materi,File Materi,,,,False,version 1
141,purchase_count,integer,,# Purchases,,,,False,version 1
142,discussion_ids,one2many,product.discussion,Discussions,,,,False,version 1
,,,,
143,description_pickingout,,,,text,,Description on Delivery Orders,False,version 2
144,has_available_route_ids,,,,boolean,,Routes can be selected on this product,False,version 2
145,activity_date_deadline,,,,date,,Next Activity Deadline,False,version 2
146,pricelist_item_count,,,,integer,,Number of price rules,False,version 2
147,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
148,website_ribbon_id,,,,many2one,product.ribbon,Ribbon,False,version 2
149,project_id,,,,many2one,project.project,Project,False,version 2
150,rating_last_feedback,,,,text,,Rating Last Feedback,False,version 2
151,service_type,,,,selection,,Track Service,False,version 2
152,project_template_id,,,,many2one,project.project,Project Template,False,version 2
153,inventory_availability,,,,selection,,Inventory Availability,False,version 2
154,activity_type_id,,,,many2one,mail.activity.type,Next Activity Type,False,version 2
155,image_128,,,,binary,,Image 128,False,version 2
156,optional_product_ids,,,,many2many,product.template,Optional Products,False,version 2
157,description_pickingin,,,,text,,Description on Receptions,False,version 2
158,used_in_bom_count,,,,integer,,# of BoM Where is Used,False,version 2
159,website_id,,,,many2one,website,Website,False,version 2
160,website_meta_og_img,,,,char,,Website opengraph image,False,version 2
161,volume_uom_name,,,,char,,Volume unit of measure label,False,version 2
162,can_image_1024_be_zoomed,,,,boolean,,Can Image 1024 be zoomed,False,version 2
163,activity_exception_decoration,,,,selection,,Activity Exception Decoration,False,version 2
164,activity_type_icon,,,,char,,Activity Type Icon,False,version 2
165,rating_last_image,,,,binary,,Rating Last Image,False,version 2
166,variant_seller_ids,,,,one2many,product.supplierinfo,Variant Seller,False,version 2
167,is_product_variant,,,,boolean,,Is a product variant,False,version 2
168,message_has_error_counter,,,,integer,,Number of errors,False,version 2
169,image_1920,,,,binary,,Image,False,version 2
170,seo_name,,,,char,,Seo name,False,version 2
171,valid_product_template_attribute_line_ids,,,,many2many,product.template.attribute.line,Valid Product Attribute Lines,False,version 2
172,has_configurable_attributes,,,,boolean,,Is a configurable product,False,version 2
173,image_256,,,,binary,,Image 256,False,version 2
174,available_threshold,,,,float,,Availability Threshold,False,version 2
175,custom_message,,,,text,,Custom Message,False,version 2
176,service_tracking,,,,selection,,Service Tracking,False,version 2
177,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
178,weight_uom_name,,,,char,,Weight unit of measure label,False,version 2
179,activity_user_id,,,,many2one,res.users,Responsible User,False,version 2
