model;account.journal;transient;FALSE;;;;;;
77;message_ids;;;;one2many;mail.message;Messages;FALSE;version 2
78;invoice_reference_model;;;;selection;;Communication Standard;TRUE;version 2
79;sequence_override_regex;;;;text;;Sequence Override Regex;FALSE;version 2
80;message_unread_counter;;;;integer;;Unread Messages Counter;FALSE;version 2
81;synchronization_status;;;;char;;Synchronization status;FALSE;version 2
82;company_partner_id;;;;many2one;res.partner;Account Holder;FALSE;version 2
83;message_has_error_counter;;;;integer;;Number of errors;FALSE;version 2
84;sale_activity_type_id;;;;many2one;mail.activity.type;Schedule Activity;FALSE;version 2
85;next_link_synchronization;;;;datetime;;Online Link Next synchronization;FALSE;version 2
86;active;;;;boolean;;Active;FALSE;version 2
87;default_account_type;;;;many2one;account.account.type;Default Account Type;FALSE;version 2
88;activity_summary;;;;char;;Next Activity Summary;FALSE;version 2
89;default_account_id;;;;many2one;account.account;Default Account;FALSE;version 2
90;payment_debit_account_id;;;;many2one;account.account;Outstanding Receipts Account;FALSE;version 2
91;invoice_reference_type;;;;selection;;Communication Type;TRUE;version 2
92;bank_statement_creation_groupby;;;;selection;;Bank Statements Group By;FALSE;version 2
93;account_online_journal_id;;;;many2one;account.online.journal;Account Online Journal;FALSE;version 2
94;message_unread;;;;boolean;;Unread Messages;FALSE;version 2
95;message_needaction_counter;;;;integer;;Number of Actions;FALSE;version 2
