model,res.company,transient,False
no,field,type1,type2,relation,string1,string2,required,source
149,account_dashboard_onboarding_state,,selection,,,State of the account dashboard onboarding panel,False,version 2
150,social_twitter,,char,,,Twitter Account,False,version 2
151,report_header,,text,,,Company Tagline,False,version 2
152,automatic_entry_default_journal_id,,many2one,account.journal,,Automatic Entry Default Journal,False,version 2
153,account_opening_journal_id,,many2one,account.journal,,Opening Journal,False,version 2
154,account_opening_move_id,,many2one,account.move,,Opening Journal Entry,False,version 2
155,social_github,,char,,,GitHub Account,False,version 2
156,social_youtube,,char,,,Youtube Account,False,version 2
157,catchall_email,,char,,,Catchall Email,False,version 2
158,default_cash_difference_income_account_id,,many2one,account.account,,Cash Difference Income Account,False,version 2
159,expense_accrual_account_id,,many2one,account.account,,Expense Accrual Account,False,version 2
160,expense_extract_show_ocr_option_selection,,selection,,,Send mode on expense attachments,False,version 2
161,account_setup_bank_data_state,,selection,,,State of the onboarding bank data step,False,version 2
162,extract_single_line_per_tax,,boolean,,,OCR Single Invoice Line Per Tax,False,version 2
163,portal_confirmation_sign,,boolean,,,Online Signature,False,version 2
164,sale_order_template_id,,many2one,sale.order.template,,Default Sale Template,False,version 2
165,payment_onboarding_payment_method,,selection,,,Selected onboarding payment method,False,version 2
166,currency_provider,,selection,,,Service Provider,False,version 2
167,yodlee_access_token,,char,,,access_token,False,version 2
168,currency_next_execution_date,,date,,,Next Execution Date,False,version 2
169,sale_quotation_onboarding_state,,selection,,,State of the sale onboarding panel,False,version 2
170,yodlee_user_password,,char,,,Yodlee password,False,version 2
171,hr_presence_control_ip_list,,char,,,Valid IP addresses,False,version 2
,,,,
,,,,
